filename, language, Groovy, Markdown, JSON, Batch, Java, Properties, comment, blank, total
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\.VSCodeCounter\details.md, Markdown, 0, 62, 0, 0, 0, 0, 0, 6, 68
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\.VSCodeCounter\results.md, Markdown, 0, 29, 0, 0, 0, 0, 0, 7, 36
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\.wpilib\wpilib_preferences.json, JSON, 0, 0, 6, 0, 0, 0, 0, 0, 6
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\build.gradle, Groovy, 41, 0, 0, 0, 0, 0, 18, 8, 67
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\gradle\wrapper\gradle-wrapper.properties, Properties, 0, 0, 0, 0, 0, 5, 0, 1, 6
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\gradlew.bat, Batch, 0, 0, 0, 76, 0, 0, 0, 25, 101
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\settings.gradle, Groovy, 26, 0, 0, 0, 0, 0, 0, 2, 28
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\deploy\Center3Highgoal.wpilib.json, JSON, 0, 0, 1, 0, 0, 0, 0, 0, 1
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\deploy\Right3HighGoal2.wpilib.json, JSON, 0, 0, 1, 0, 0, 0, 0, 0, 1
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\deploy\Right3Highgoal1.wpilib.json, JSON, 0, 0, 1, 0, 0, 0, 0, 0, 1
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\ButtonMap.java, Java, 0, 0, 0, 0, 101, 0, 11, 4, 116
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\CommandSuites.java, Java, 0, 0, 0, 0, 33, 0, 9, 6, 48
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\Main.java, Java, 0, 0, 0, 0, 9, 0, 16, 5, 30
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\OI.java, Java, 0, 0, 0, 0, 8, 0, 10, 4, 22
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\Robot.java, Java, 0, 0, 0, 0, 126, 0, 6, 18, 150
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\RobotConfig.java, Java, 0, 0, 0, 0, 121, 0, 9, 21, 151
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\RobotMap.java, Java, 0, 0, 0, 0, 104, 0, 6, 35, 145
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\RobotStats.java, Java, 0, 0, 0, 0, 18, 0, 9, 4, 31
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\autos\CenterHighGoalAuto.java, Java, 0, 0, 0, 0, 18, 0, 14, 4, 36
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\autos\CrossLine.java, Java, 0, 0, 0, 0, 9, 0, 14, 4, 27
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\autos\RightAdvancedAuto.java, Java, 0, 0, 0, 0, 14, 0, 14, 4, 32
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\ArmSetPosition.java, Java, 0, 0, 0, 0, 13, 0, 11, 5, 29
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\AutoFiringSequence.java, Java, 0, 0, 0, 0, 9, 0, 14, 4, 27
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\ChangeLightRingState.java, Java, 0, 0, 0, 0, 13, 0, 11, 5, 29
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\ConditionalSetFlyWheelVelocity.java, Java, 0, 0, 0, 0, 23, 0, 14, 8, 45
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\ConditionalSetHoodPosition.java, Java, 0, 0, 0, 0, 24, 0, 14, 9, 47
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\DeadReackonDrive.java, Java, 0, 0, 0, 0, 35, 0, 14, 10, 59
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\DeployClimber.java, Java, 0, 0, 0, 0, 10, 0, 14, 5, 29
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\FireSequence.java, Java, 0, 0, 0, 0, 9, 0, 16, 5, 30
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\MagazineAutomation.java, Java, 0, 0, 0, 0, 8, 0, 14, 4, 26
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\MagazineControl.java, Java, 0, 0, 0, 0, 29, 0, 14, 10, 53
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\SetFlyWheelVelocity.java, Java, 0, 0, 0, 0, 14, 0, 11, 6, 31
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\SetHoodPosition.java, Java, 0, 0, 0, 0, 13, 0, 11, 6, 30
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\SetIntakeSpeed.java, Java, 0, 0, 0, 0, 13, 0, 11, 5, 29
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\SetPiston.java, Java, 0, 0, 0, 0, 27, 0, 12, 11, 50
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\ShootingSequence.java, Java, 0, 0, 0, 0, 9, 0, 14, 5, 28
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\TimedMagazineRun.java, Java, 0, 0, 0, 0, 28, 0, 14, 10, 52
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\TrackVisionTarget.java, Java, 0, 0, 0, 0, 30, 0, 14, 12, 56
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\WachetSpeed.java, Java, 0, 0, 0, 0, 20, 0, 11, 5, 36
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\tests\test.java, Java, 0, 0, 0, 0, 19, 0, 14, 8, 41
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\sensors\DriveEncoder.java, Java, 0, 0, 0, 0, 30, 0, 0, 6, 36
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\sensors\FlywheelEncoder.java, Java, 0, 0, 0, 0, 5, 0, 9, 4, 18
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\sensors\LidarLite.java, Java, 0, 0, 0, 0, 24, 0, 9, 5, 38
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\sensors\Navx.java, Java, 0, 0, 0, 0, 70, 0, 0, 7, 77
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\sensors\VisionCamera.java, Java, 0, 0, 0, 0, 110, 0, 0, 13, 123
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\Arm.java, Java, 0, 0, 0, 0, 94, 0, 21, 10, 125
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\Climber.java, Java, 0, 0, 0, 0, 40, 0, 10, 5, 55
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\DriveTrain.java, Java, 0, 0, 0, 0, 246, 0, 10, 28, 284
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\Hood.java, Java, 0, 0, 0, 0, 93, 0, 10, 7, 110
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\Intake.java, Java, 0, 0, 0, 0, 35, 0, 10, 5, 50
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\Magazine.java, Java, 0, 0, 0, 0, 89, 0, 14, 6, 109
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\Shooter.java, Java, 0, 0, 0, 0, 67, 0, 13, 7, 87
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\controlLoops\CascadingPIDTurn.java, Java, 0, 0, 0, 0, 49, 0, 10, 11, 70
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\controlLoops\PID.java, Java, 0, 0, 0, 0, 93, 0, 1, 14, 108
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\controlLoops\PurePursuitController.java, Java, 0, 0, 0, 0, 265, 0, 22, 14, 301
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\math\Point.java, Java, 0, 0, 0, 0, 33, 0, 0, 3, 36
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\math\Vector.java, Java, 0, 0, 0, 0, 32, 0, 0, 2, 34
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\pathTools\Odometry.java, Java, 0, 0, 0, 0, 146, 0, 16, 16, 178
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\pathTools\PathList.java, Java, 0, 0, 0, 0, 27, 0, 9, 12, 48
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\pathTools\PathSetup.java, Java, 0, 0, 0, 0, 35, 0, 0, 10, 45
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\vendordeps\PathfinderOLD.json, JSON, 0, 0, 85, 0, 0, 0, 0, 0, 85
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\vendordeps\Phoenix.json, JSON, 0, 0, 180, 0, 0, 0, 0, 0, 180
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\vendordeps\REVRobotics.json, JSON, 0, 0, 70, 0, 0, 0, 0, 0, 70
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\vendordeps\WPILibNewCommands.json, JSON, 0, 0, 37, 0, 0, 0, 0, 1, 38
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\vendordeps\WPILibOldCommands.json, JSON, 0, 0, 37, 0, 0, 0, 0, 0, 37
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\vendordeps\navx_frc.json, JSON, 0, 0, 35, 0, 0, 0, 0, 0, 35
Total, -, 67, 91, 453, 76, 2490, 5, 548, 477, 4207