filename, language, Java, JSON, comment, blank, total
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\deploy\Center3Highgoal.wpilib.json, JSON, 0, 1, 0, 0, 1
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\deploy\Right3HighGoal2.wpilib.json, JSON, 0, 1, 0, 0, 1
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\deploy\Right3Highgoal1.wpilib.json, JSON, 0, 1, 0, 0, 1
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\ButtonMap.java, Java, 98, 0, 11, 4, 113
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\CommandSuites.java, Java, 33, 0, 9, 6, 48
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\Main.java, Java, 9, 0, 16, 5, 30
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\OI.java, Java, 8, 0, 10, 4, 22
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\Robot.java, Java, 126, 0, 6, 18, 150
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\RobotConfig.java, Java, 122, 0, 9, 21, 152
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\RobotMap.java, Java, 108, 0, 6, 36, 150
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\RobotStats.java, Java, 18, 0, 9, 4, 31
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\autos\CenterHighGoalAuto.java, Java, 18, 0, 14, 4, 36
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\autos\CrossLine.java, Java, 9, 0, 14, 4, 27
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\autos\RightAdvancedAuto.java, Java, 14, 0, 14, 4, 32
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\ArmSetPosition.java, Java, 13, 0, 11, 5, 29
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\AutoFiringSequence.java, Java, 9, 0, 14, 4, 27
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\ChangeLightRingState.java, Java, 13, 0, 11, 5, 29
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\ConditionalSetFlyWheelVelocity.java, Java, 23, 0, 14, 8, 45
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\ConditionalSetHoodPosition.java, Java, 24, 0, 14, 9, 47
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\DeadReackonDrive.java, Java, 35, 0, 14, 10, 59
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\DeployClimber.java, Java, 10, 0, 14, 5, 29
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\FireSequence.java, Java, 9, 0, 16, 5, 30
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\MagazineAutomation.java, Java, 8, 0, 14, 4, 26
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\MagazineControl.java, Java, 29, 0, 14, 10, 53
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\SetFlyWheelVelocity.java, Java, 14, 0, 11, 6, 31
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\SetHoodPosition.java, Java, 13, 0, 11, 6, 30
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\SetIntakeSpeed.java, Java, 13, 0, 11, 5, 29
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\SetPiston.java, Java, 27, 0, 12, 11, 50
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\ShootingSequence.java, Java, 9, 0, 14, 5, 28
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\TimedMagazineRun.java, Java, 28, 0, 14, 10, 52
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\TrackVisionTarget.java, Java, 30, 0, 14, 12, 56
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\controls\WachetSpeed.java, Java, 20, 0, 11, 5, 36
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\commands\tests\test.java, Java, 19, 0, 14, 8, 41
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\sensors\DriveEncoder.java, Java, 30, 0, 0, 6, 36
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\sensors\FlywheelEncoder.java, Java, 5, 0, 9, 4, 18
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\sensors\LidarLite.java, Java, 24, 0, 9, 5, 38
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\sensors\Navx.java, Java, 70, 0, 0, 7, 77
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\sensors\VisionCamera.java, Java, 110, 0, 0, 13, 123
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\Arm.java, Java, 102, 0, 23, 11, 136
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\Climber.java, Java, 40, 0, 10, 5, 55
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\DriveTrain.java, Java, 246, 0, 10, 28, 284
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\Hood.java, Java, 99, 0, 18, 7, 124
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\Intake.java, Java, 36, 0, 10, 6, 52
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\Magazine.java, Java, 84, 0, 14, 7, 105
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\subsystems\Shooter.java, Java, 67, 0, 13, 7, 87
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\controlLoops\CascadingPIDTurn.java, Java, 49, 0, 10, 11, 70
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\controlLoops\PID.java, Java, 93, 0, 1, 14, 108
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\controlLoops\PurePursuitController.java, Java, 265, 0, 22, 14, 301
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\math\Point.java, Java, 33, 0, 0, 3, 36
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\math\Vector.java, Java, 32, 0, 0, 2, 34
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\pathTools\Odometry.java, Java, 146, 0, 16, 16, 178
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\pathTools\PathList.java, Java, 27, 0, 9, 12, 48
c:\Users\Simon Hempel\Documents\2020-Chronostar\Chronostar\src\main\java\frc\robot\tools\pathTools\PathSetup.java, Java, 35, 0, 0, 10, 45
Total, -, 2502, 3, 540, 431, 3476
